No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
369,77 GHz (MRT),10.4,+/-1.0,Jy,7.7E10,10.4,1.0,1.0,,,+/-1.00E+00,Jy,1987A&AS...71..125T,1 sigma,77 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
370,61 GHz (WMAP),9.5,+/-0.3,Jy,6.1E10,9.5,0.3,0.3,,,+/-3.00E-01,Jy,2009ApJ...694..222C,1 sigma,61 GHz,Broad-band measurement,12 30 49 +12 23 00 (J2000),Flux integrated from map,,From new raw data
371,61 GHz (WMAP),9.4,+/-0.5,Jy,6.1E10,9.4,0.5,0.5,,,+/-5.00E-01,Jy,2008ApJ...681..747C,uncertainty,61 GHz,Broad-band measurement,12 30 49 +12 22 51 (J2000),Flux integrated from map,,From reprocessed raw data
372,61 GHz (WMAP),9.2,+/-0.4,Jy,6.1E10,9.2,0.4,0.4,,,+/-4.00E-01,Jy,2003ApJS..148...97B,uncertainty,61   GHz,Broad-band measurement,123051.3 +122309 (J2000),Flux integrated from map,,From new raw data
373,V (WMAP),9.7,+/-0.20,Jy,6.1E10,9.7,0.2,0.2,,,+/-2.00E-01,Jy,2009ApJS..180..283W,uncertainty,61 GHz,Broad-band measurement,12 30 51 +12 23 00 (J2000),Flux integrated from map,,From new raw data
374,61 GHz (WMAP),9.7,+/-0.20,Jy,6.1E10,9.7,0.2,0.2,,,+/-2.00E-01,Jy,2011ApJS..192...15G,uncertainty,61 GHz,Broad-band measurement,12 30 51 +12 23 (J2000),Flux integrated from map,,From new raw data
375,43 GHz (KVN),10.84,+/-1.53,Jy,4.24E10,10.8,1.53,1.53,,,+/-1.53E+00,Jy,2017ApJS..228...22L,1 sigma,42.4 GHz,Broad-band measurement,12 30 49.32 +12 23 27.96 (J2000),Flux integrated from map,Obs. code = KVNCS1.0.1,From new raw data
376,43 GHz (KVN),10.5,+/-1.78,Jy,4.24E10,10.5,1.78,1.78,,,+/-1.78E+00,Jy,2017ApJS..228...22L,1 sigma,42.4 GHz,Broad-band measurement,12 30 49.32 +12 23 27.96 (J2000),Flux integrated from map,Obs. code = KVNCS1.3.2,From new raw data
377,41 GHz (WMAP),13100.0,,milliJy,4.1E10,13.1,,,,,,Jy,2009A&A...508..107G,no uncertainty reported,41 GHz,Broad-band measurement,12 30 49.3 +12 23 27.9 (J2000),Flux integrated from map,,From new raw data
378,41 GHz (WMAP),12.7,+/-0.2,Jy,4.1E10,12.7,0.2,0.2,,,+/-2.00E-01,Jy,2009ApJ...694..222C,1 sigma,41 GHz,Broad-band measurement,12 30 49 +12 23 00 (J2000),Flux integrated from map,,From new raw data
